URL,目录,质量等级,重复率,暗示评分,段落总数,重复段落数,发布日期
https://www.dongao.com/acca/bm/202506134566581.html,www.dongao.com/acca/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-13  10:42:21
https://www.dongao.com/cjks/bm/202506134565199.html,www.dongao.com/cjks/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:49:25
https://www.dongao.com/acca/bm/202506114566215.html,www.dongao.com/acca/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-11  11:29:42
https://www.dongao.com/cjks/cf/202506134566198.html,www.dongao.com/cjks/cf,优,0.00%,3,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:26:04
https://www.dongao.com/acca/bm/202506124566577.html,www.dongao.com/acca/bm,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:03
https://www.dongao.com/cma/cjcx/202506124566432.html,www.dongao.com/cma/cjcx,优,0.00%,3,3,0,来源：东奥会计在线责编：zhangfan2025-06-12  10:46:11
https://www.dongao.com/acca/bm/202506104565899.html,www.dongao.com/acca/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-10  13:26:25
https://www.dongao.com/acca/bm/202506114566218.html,www.dongao.com/acca/bm,优,0.00%,3,3,0,来源：东奥会计在线责编：zhangfan2025-06-11  11:30:03
https://www.dongao.com/cjks/cf/202506134565193.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:54
https://www.dongao.com/acca/bm/202506104565900.html,www.dongao.com/acca/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-10  13:28:28
https://www.dongao.com/cma/cjcx/202506104565897.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-10  13:24:09
https://www.dongao.com/cjks/cf/202506134567194.html,www.dongao.com/cjks/cf,极差,66.67%,3,6,4,来源：东奥会计在线责编：张梦2025-06-13  14:02:27
https://www.dongao.com/cjks/cf/202506134565191.html,www.dongao.com/cjks/cf,差,33.33%,3,3,1,来源：东奥会计在线责编：刘雪晶2025-06-13  09:52:16
https://www.dongao.com/cjks/cf/202506124565189.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-12  09:54:12
https://www.dongao.com/acca/cjcx/202506094565398.html,www.dongao.com/acca/cjcx,差,50.00%,0,4,2,来源：东奥会计在线责编：zhangfan2025-06-09  15:47:56
https://www.dongao.com/cma/bmsj/202506094565379.html,www.dongao.com/cma/bmsj,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-09  15:44:32
https://www.dongao.com/acca/bm/202506134566579.html,www.dongao.com/acca/bm,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:59
https://www.dongao.com/cma/cjcx/202506114566229.html,www.dongao.com/cma/cjcx,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-11  11:26:25
https://www.dongao.com/acca/cjcx/202506094565429.html,www.dongao.com/acca/cjcx,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-09  15:48:07
https://www.dongao.com/cjks/cf/202506124565190.html,www.dongao.com/cjks/cf,优,0.00%,3,3,0,来源：东奥会计在线责编：刘雪晶2025-06-12  09:24:56
https://www.dongao.com/cma/cjcx/202506134566576.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:09
https://www.dongao.com/cma/cjcx/202506104565898.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-10  13:25:06
https://www.dongao.com/cma/bmlc/202506094565387.html,www.dongao.com/cma/bmlc,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-09  15:46:55
https://www.dongao.com/cjks/cf/202506134565197.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:38
https://www.dongao.com/cjks/bm/202506134565200.html,www.dongao.com/cjks/bm,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:03
https://www.dongao.com/acca/bm/202506124566578.html,www.dongao.com/acca/bm,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:25
https://www.dongao.com/cma/cjcx/202506124566441.html,www.dongao.com/cma/cjcx,优,0.00%,0,3,0,来源：东奥会计在线责编：zhangfan2025-06-12  10:46:29
https://www.dongao.com/cjks/bm/202506134566160.html,www.dongao.com/cjks/bm,优,0.00%,5,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:48:54
https://www.dongao.com/cma/cjcx/202506134566575.html,www.dongao.com/cma/cjcx,良,25.00%,0,4,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:39:59
https://www.dongao.com/cma/cjcx/202506114566237.html,www.dongao.com/cma/cjcx,优,0.00%,3,3,0,来源：东奥会计在线责编：zhangfan2025-06-11  11:26:49
https://www.dongao.com/cjks/bm/202506134565201.html,www.dongao.com/cjks/bm,优,0.00%,0,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:20
