URL,目录,重复率,重复段落数,段落总数,质量等级,发布日期
https://www.dongao.com/acca/bm/202506124566577.html,www.dongao.com/acca/bm,33.33%,1,3,良,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:03
https://www.dongao.com/cma/cjcx/202506104565897.html,www.dongao.com/cma/cjcx,33.33%,1,3,差,来源：东奥会计在线责编：zhangfan2025-06-10  13:24:09
https://www.dongao.com/cjks/cf/202506134567194.html,www.dongao.com/cjks/cf,66.67%,4,6,极差,来源：东奥会计在线责编：张梦2025-06-13  14:02:27
https://www.dongao.com/cjks/cf/202506134565191.html,www.dongao.com/cjks/cf,33.33%,1,3,差,来源：东奥会计在线责编：刘雪晶2025-06-13  09:52:16
https://www.dongao.com/acca/cjcx/202506094565398.html,www.dongao.com/acca/cjcx,50.00%,2,4,差,来源：东奥会计在线责编：zhangfan2025-06-09  15:47:56
https://www.dongao.com/cma/bmsj/202506094565379.html,www.dongao.com/cma/bmsj,33.33%,1,3,良,来源：东奥会计在线责编：zhangfan2025-06-09  15:44:32
https://www.dongao.com/acca/bm/202506134566579.html,www.dongao.com/acca/bm,33.33%,1,3,良,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:59
https://www.dongao.com/cma/cjcx/202506134566576.html,www.dongao.com/cma/cjcx,33.33%,1,3,差,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:09
https://www.dongao.com/cma/cjcx/202506104565898.html,www.dongao.com/cma/cjcx,33.33%,1,3,差,来源：东奥会计在线责编：zhangfan2025-06-10  13:25:06
https://www.dongao.com/cma/bmlc/202506094565387.html,www.dongao.com/cma/bmlc,33.33%,1,3,良,来源：东奥会计在线责编：zhangfan2025-06-09  15:46:55
https://www.dongao.com/acca/bm/202506124566578.html,www.dongao.com/acca/bm,33.33%,1,3,差,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:25
https://www.dongao.com/cma/cjcx/202506134566575.html,www.dongao.com/cma/cjcx,25.00%,1,4,良,来源：东奥会计在线责编：zhangfan2025-06-13  10:39:59
https://www.dongao.com/cjks/cf/202506124565195.html,www.dongao.com/cjks/cf,33.33%,1,3,差,来源：东奥会计在线责编：刘雪晶2025-06-12  09:56:17
https://www.dongao.com/cjks/bm/202506124565205.html,www.dongao.com/cjks/bm,33.33%,1,3,差,来源：东奥会计在线责编：刘雪晶2025-06-12  09:53:55
https://www.dongao.com/cjks/cf/202506114563301.html,www.dongao.com/cjks/cf,33.33%,1,3,差,来源：东奥会计在线责编：刘雪晶2025-06-11  09:29:07
https://www.dongao.com/cjks/cf/202506104566080.html,www.dongao.com/cjks/cf,75.00%,6,8,极差,来源：东奥会计在线责编：张梦2025-06-10  17:02:56
https://www.dongao.com/cjks/cf/202506104566033.html,www.dongao.com/cjks/cf,42.86%,3,7,差,来源：东奥会计在线责编：张梦2025-06-10  15:59:34
https://www.dongao.com/cjks/cf/202506094565617.html,www.dongao.com/cjks/cf,57.14%,4,7,差,来源：东奥会计在线责编：张丽娜2025-06-09  16:03:50
https://www.dongao.com/cjks/bm/202506104563289.html,www.dongao.com/cjks/bm,50.00%,1,2,极差,来源：东奥会计在线责编：刘雪晶2025-06-10  09:48:44
https://www.dongao.com/cjks/cf/202506094565628.html,www.dongao.com/cjks/cf,66.67%,2,3,极差,来源：东奥会计在线责编：张梦2025-06-09  16:40:01
https://www.dongao.com/cjks/cf/202506094565643.html,www.dongao.com/cjks/cf,25.00%,1,4,良,来源：东奥会计在线责编：张梦2025-06-09  17:05:33
https://www.dongao.com/cjks/bm/202506094565490.html,www.dongao.com/cjks/bm,50.00%,2,4,差,来源：东奥会计在线责编：张丽娜2025-06-09  14:35:27
https://www.dongao.com/gaoji/baoming/202506114566474.html,www.dongao.com/gaoji/baoming,100.00%,10,10,极差,来源：东奥会计在线责编：韩艺2025-06-11  16:12:20
https://www.dongao.com/gaoji/baoming/202506114566452.html,www.dongao.com/gaoji/baoming,18.18%,2,11,良,来源：东奥会计在线责编：韩艺2025-06-11  15:41:57
