URL,目录,质量等级,重复率,暗示评分,段落总数,重复段落数,发布日期
https://www.dongao.com/cma/cjcx/202506104565897.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-10  13:24:09
https://www.dongao.com/cjks/cf/202506134565191.html,www.dongao.com/cjks/cf,差,33.33%,3,3,1,来源：东奥会计在线责编：刘雪晶2025-06-13  09:52:16
https://www.dongao.com/acca/cjcx/202506094565398.html,www.dongao.com/acca/cjcx,差,50.00%,0,4,2,来源：东奥会计在线责编：zhangfan2025-06-09  15:47:56
https://www.dongao.com/cma/cjcx/202506134566576.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:09
https://www.dongao.com/cma/cjcx/202506104565898.html,www.dongao.com/cma/cjcx,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-10  13:25:06
https://www.dongao.com/acca/bm/202506124566578.html,www.dongao.com/acca/bm,差,33.33%,3,3,1,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:25
https://www.dongao.com/cjks/cf/202506124565195.html,www.dongao.com/cjks/cf,差,33.33%,7,3,1,来源：东奥会计在线责编：刘雪晶2025-06-12  09:56:17
https://www.dongao.com/cjks/bm/202506124565205.html,www.dongao.com/cjks/bm,差,33.33%,7,3,1,来源：东奥会计在线责编：刘雪晶2025-06-12  09:53:55
https://www.dongao.com/cjks/cf/202506114563301.html,www.dongao.com/cjks/cf,差,33.33%,7,3,1,来源：东奥会计在线责编：刘雪晶2025-06-11  09:29:07
https://www.dongao.com/cjks/cf/202506104566033.html,www.dongao.com/cjks/cf,差,42.86%,0,7,3,来源：东奥会计在线责编：张梦2025-06-10  15:59:34
https://www.dongao.com/cjks/cf/202506094565617.html,www.dongao.com/cjks/cf,差,57.14%,3,7,4,来源：东奥会计在线责编：张丽娜2025-06-09  16:03:50
https://www.dongao.com/cjks/bm/202506094565490.html,www.dongao.com/cjks/bm,差,50.00%,0,4,2,来源：东奥会计在线责编：张丽娜2025-06-09  14:35:27
