URL,目录,质量等级,重复率,暗示评分,段落总数,重复段落数,发布日期
https://www.dongao.com/acca/bm/202506124566577.html,www.dongao.com/acca/bm,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-12  10:47:03
https://www.dongao.com/cjks/cf/202506134565193.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:54
https://www.dongao.com/cjks/cf/202506124565189.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-12  09:54:12
https://www.dongao.com/cma/bmsj/202506094565379.html,www.dongao.com/cma/bmsj,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-09  15:44:32
https://www.dongao.com/acca/bm/202506134566579.html,www.dongao.com/acca/bm,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:41:59
https://www.dongao.com/cma/bmlc/202506094565387.html,www.dongao.com/cma/bmlc,良,33.33%,0,3,1,来源：东奥会计在线责编：zhangfan2025-06-09  15:46:55
https://www.dongao.com/cjks/cf/202506134565197.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:38
https://www.dongao.com/cjks/bm/202506134565200.html,www.dongao.com/cjks/bm,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:50:03
https://www.dongao.com/cma/cjcx/202506134566575.html,www.dongao.com/cma/cjcx,良,25.00%,0,4,1,来源：东奥会计在线责编：zhangfan2025-06-13  10:39:59
https://www.dongao.com/cjks/cf/202506134565192.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-13  09:52:34
https://www.dongao.com/cjks/bm/202506124565198.html,www.dongao.com/cjks/bm,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-12  09:52:37
https://www.dongao.com/cjks/hgz/202506114563311.html,www.dongao.com/cjks/hgz,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-11  09:31:09
https://www.dongao.com/cjks/hgz/202506114563310.html,www.dongao.com/cjks/hgz,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-11  09:30:19
https://www.dongao.com/cjks/cf/202506104565895.html,www.dongao.com/cjks/cf,良,14.29%,5,7,1,来源：东奥会计在线责编：张梦2025-06-10  14:27:43
https://www.dongao.com/cjks/bm/202506114566320.html,www.dongao.com/cjks/bm,良,4.17%,7,24,1,来源：东奥会计在线责编：张梦2025-06-11  14:18:38
https://www.dongao.com/cjks/cf/202506104563299.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-10  09:47:58
https://www.dongao.com/cjks/cf/202506114563315.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-11  09:28:27
https://www.dongao.com/cjks/cf/202506104566021.html,www.dongao.com/cjks/cf,良,0.00%,7,2,0,来源：东奥会计在线责编：张梦2025-06-10  15:33:43
https://www.dongao.com/cjks/cf/202506104563296.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-10  09:46:53
https://www.dongao.com/cjks/cf/202506104566055.html,www.dongao.com/cjks/cf,良,0.00%,7,4,0,来源：东奥会计在线责编：张梦2025-06-10  16:30:09
https://www.dongao.com/cjks/cf/202506104563314.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-10  09:46:01
https://www.dongao.com/cjks/bm/202506104563288.html,www.dongao.com/cjks/bm,良,0.00%,7,8,0,来源：东奥会计在线责编：刘雪晶2025-06-10  09:48:27
https://www.dongao.com/cjks/cf/202506094563293.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:14:49
https://www.dongao.com/cjks/cf/202506094565305.html,www.dongao.com/cjks/cf,良,12.50%,5,8,1,来源：东奥会计在线责编：张梦2025-06-09  13:41:54
https://www.dongao.com/cjks/cf/202506094565643.html,www.dongao.com/cjks/cf,良,25.00%,3,4,1,来源：东奥会计在线责编：张梦2025-06-09  17:05:33
https://www.dongao.com/cjks/cf/202506094563306.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:14:32
https://www.dongao.com/cjks/cf/202506094563295.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:14:05
https://www.dongao.com/cjks/cf/202506094563294.html,www.dongao.com/cjks/cf,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:15:02
https://www.dongao.com/cjks/bm/202506094563323.html,www.dongao.com/cjks/bm,良,0.00%,7,4,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:13:50
https://www.dongao.com/cjks/bm/202506094562323.html,www.dongao.com/cjks/bm,良,0.00%,7,3,0,来源：东奥会计在线责编：刘雪晶2025-06-09  10:12:43
https://www.dongao.com/gaoji/baoming/202506114566452.html,www.dongao.com/gaoji/baoming,良,18.18%,3,11,2,来源：东奥会计在线责编：韩艺2025-06-11  15:41:57
